Zeit	Tiefe
0	0
10	0.3
20	0.3
30	0.8999999999999999
40	0.8999999999999999
50	1.5
60	1.5
70	2.1
80	2.1
90	2.6999999999999997
100	2.6999999999999997
110	3.3
120	3.3
130	3.9
140	3.9
150	4.5
160	4.5
170	5.1
180	5.1
190	5.7
200	5.7
210	6.3
220	6.3
230	6.8999999999999995
240	6.8999999999999995
250	7.5
260	7.5
270	8.1
280	8.1
290	8.7
300	8.7
310	9.299999999999999
320	9.299999999999999
330	9.9
340	9.9
350	10.5
360	10.5
370	11.1
380	11.1
390	11.7
400	11.7
410	12.299999999999999
420	12.299999999999999
430	12.9
440	12.9
450	13.5
460	13
470	13
480	13
490	13
500	13
510	13
520	13
530	13
540	13
550	13
560	13
570	13
580	13
590	13
600	13
610	13
620	13
630	13
640	13
650	13
660	13
670	13
680	13
690	13
700	13
710	13
720	13
730	13
740	13
750	13
760	13
770	13
780	13
790	13
800	13
810	13
820	13
830	13
840	13
850	13
860	13
870	13
880	13
890	13
900	13
910	13
920	13
930	13
940	13
950	13
960	13
970	13
980	13
990	13
1000	13
1010	13
1020	13
1030	13
1040	13
1050	13
1060	13
1070	13
1080	13
1090	13
1100	13
1110	13
1120	13
1130	13
1140	13
1150	13
1160	13
1170	13
1180	13
1190	13
1200	13
1210	13
1220	13
1230	13
1240	13
1250	13
1260	13
1270	13
1280	13
1290	13
1300	13
1310	13
1320	13
1330	13
1340	13
1350	13
1360	13
1370	13
1380	13
1390	13
1400	13
1410	13
1420	13
1430	13
1440	13
1450	13
1460	13
1470	13
1480	13
1490	13
1500	13
1510	13
1520	13
1530	13
1540	13
1550	13
1560	13
1570	13
1580	13
1590	13
1600	13
1610	13
1620	13
1630	13
1640	13
1650	13
1660	13
1670	13
1680	13
1690	13
1700	13
1710	13
1720	13
1730	13
1740	13
1750	13
1760	13
1770	13
1780	13
1790	13
1800	13
1810	13
1820	13
1830	13
1840	13
1850	13
1860	13
1870	13
1880	13
1890	13
1900	13
1910	13
1920	13
1930	13
1940	13
1950	13
1960	13
1970	13
1980	13
1990	13
2000	13
2010	13
2020	13
2030	13
2040	13
2050	13
2060	13
2070	13
2080	13
2090	13
2100	13
2110	13
2120	13
2130	13
2140	13
2150	13
2160	13
2170	13
2180	13
2190	13
2200	13
2210	13
2220	13
2230	13
2240	13
2250	13
2260	13
2270	13
2280	13
2290	13
2300	13
2310	13
2320	13
2330	13
2340	13
2350	13
2360	13
2370	13
2380	13
2390	13
