Zeit	Tiefe
0	0
10	0.3
20	0.3
30	0.8999999999999999
40	0.8999999999999999
50	1.5
60	1.5
70	2.1
80	2.1
90	2.6999999999999997
100	2.6999999999999997
110	3.3
120	3.3
130	3.9
140	3.9
150	4.5
160	4.5
170	5.1
180	5.1
190	5.7
200	5.7
210	6.3
220	6.3
230	6.8999999999999995
240	6.8999999999999995
250	7.5
260	7.5
270	8.1
280	8.1
290	8.7
300	8.7
310	9.299999999999999
320	9.299999999999999
330	9.9
340	9.9
350	10.5
360	10.5
370	11.1
380	11.1
390	11.7
400	11.7
410	12.299999999999999
420	12.299999999999999
430	12.9
440	12.9
450	13.5
460	13.5
470	14.1
480	14.1
490	14.7
500	14.7
510	15.299999999999999
520	15.299999999999999
530	15.899999999999999
540	15.899999999999999
550	16.5
560	16.5
570	17.099999999999998
580	17.099999999999998
590	17.7
600	17.7
610	18.3
620	18.3
630	18.9
640	18.9
650	19.5
660	19.5
670	20.099999999999998
680	20.099999999999998
690	20.7
700	20.7
710	21.3
720	21.3
730	21.9
740	21.9
750	22.5
760	22.5
770	23.099999999999998
780	23.099999999999998
790	23.7
800	23.7
810	24.3
820	24.3
830	24.9
840	24.9
850	25.5
860	25.5
870	26.099999999999998
880	26.099999999999998
890	26.7
900	26.7
910	27.3
920	27.3
930	27.9
940	27.9
950	28.5
960	28.5
970	29.099999999999998
980	29.099999999999998
990	29.7
1000	29.7
1010	30.299999999999997
1020	30
1030	30
1040	30
1050	30
1060	30
1070	30
1080	30
1090	30
1100	30
1110	30
1120	30
1130	30
1140	30
1150	30
1160	30
1170	30
1180	30
1190	30
1200	30
1210	30
1220	30
1230	30
1240	30
1250	30
1260	30
1270	30
1280	30
1290	30
1300	30
1310	30
1320	30
1330	30
1340	30
1350	30
1360	30
1370	30
1380	30
1390	30
1400	30
1410	30
1420	30
1430	30
1440	30
1450	30
1460	30
1470	30
1480	30
1490	30
1500	30
1510	30
1520	30
1530	30
1540	30
1550	30
1560	30
1570	30
1580	30
1590	30
1600	30
1610	30
1620	30
1630	30
1640	30
1650	30
1660	30
1670	30
1680	30
1690	30
1700	30
1710	30
1720	30
1730	30
1740	30
1750	30
1760	30
1770	30
1780	30
1790	30
1800	30
1810	30
1820	30
1830	30
1840	30
1850	30
1860	30
1870	30
1880	30
1890	30
1900	30
1910	30
1920	30
1930	30
1940	30
1950	30
1960	30
1970	30
1980	30
1990	30
2000	30
2010	30
2020	30
2030	30
2040	30
2050	30
2060	30
2070	30
2080	30
2090	30
2100	30
2110	30
2120	30
2130	30
2140	30
2150	30
2160	30
2170	30
2180	30
2190	30
2200	30
2210	30
2220	30
2230	30
2240	30
2250	30
2260	30
2270	30
2280	30
2290	30
2300	30
2310	30
2320	30
2330	30
2340	30
2350	30
2360	30
2370	30
2380	30
2390	30
