Zeit	Tiefe
0	0
10	0.3
20	0.3
30	0.8999999999999999
40	0.8999999999999999
50	1.5
60	1.5
70	2.1
80	2.1
90	2.6999999999999997
100	2.6999999999999997
110	3.3
120	3.3
130	3.9
140	3.9
150	4.5
160	4.5
170	5.1
180	5.1
190	5.7
200	5.7
210	6.3
220	6.3
230	6.8999999999999995
240	6.8999999999999995
250	7.5
260	7.5
270	8.1
280	8.1
290	8.7
300	8.7
310	9.299999999999999
320	9.299999999999999
330	9.9
340	9.9
350	10.5
360	10.5
370	11.1
380	11.1
390	11.7
400	11.7
410	12.299999999999999
420	12.299999999999999
430	12.9
440	12.9
450	13.5
460	13.5
470	14.1
480	14.1
490	14.7
500	14.7
510	15.299999999999999
520	15.299999999999999
530	15.899999999999999
540	15.899999999999999
550	16.5
560	16.5
570	17.099999999999998
580	17.099999999999998
590	17.7
600	17.7
610	18.3
620	18.3
630	18.9
640	18.9
650	19.5
660	19.5
670	20.099999999999998
680	20.099999999999998
690	20.7
700	20.7
710	21.3
720	21.3
730	21.9
740	21.9
750	22.5
760	22.5
770	23.099999999999998
780	23.099999999999998
790	23.7
800	23.7
810	24.3
820	24.3
830	24.9
840	24.9
850	25.5
860	25.5
870	26.099999999999998
880	26.099999999999998
890	26.7
900	26.7
910	27.3
920	27.3
930	27.9
940	27.9
950	28.5
960	28.5
970	29.099999999999998
980	29.099999999999998
990	29.7
1000	29.7
1010	30.299999999999997
1020	30.299999999999997
1030	30.9
1040	30.9
1050	31.5
1060	31.5
1070	32.1
1080	32.1
1090	32.699999999999996
1100	32.699999999999996
1110	33.3
1120	33.3
1130	33.9
1140	33.9
1150	34.5
1160	34.5
1170	35.1
1180	35.1
1190	35.699999999999996
1200	35.699999999999996
1210	36.3
1220	36.3
1230	36.9
1240	36.9
1250	37.5
1260	37
1270	37
1280	37
1290	37
1300	37
1310	37
1320	37
1330	37
1340	37
1350	37
1360	37
1370	37
1380	37
1390	37
1400	37
1410	37
1420	37
1430	37
1440	37
1450	37
1460	37
1470	37
1480	37
1490	37
1500	37
1510	37
1520	37
1530	37
1540	37
1550	37
1560	37
1570	37
1580	37
1590	37
1600	37
1610	37
1620	37
1630	37
1640	37
1650	37
1660	37
1670	37
1680	37
1690	37
1700	37
1710	37
1720	37
1730	37
1740	37
1750	37
1760	37
1770	37
1780	37
1790	37
1800	37
1810	37
1820	37
1830	37
1840	37
1850	37
1860	37
1870	37
1880	37
1890	37
1900	37
1910	37
1920	37
1930	37
1940	37
1950	37
1960	37
1970	37
1980	37
1990	37
2000	37
2010	37
2020	37
2030	37
2040	37
2050	37
2060	37
2070	37
2080	37
2090	37
2100	37
2110	37
2120	37
2130	37
2140	37
2150	37
2160	37
2170	37
2180	37
2190	37
2200	37
2210	37
2220	37
2230	37
2240	37
2250	37
2260	37
2270	37
2280	37
2290	37
2300	37
2310	37
2320	37
2330	37
2340	37
2350	37
2360	37
2370	37
2380	37
2390	37
